epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
107,7643.45,0.51604,0.94156,0.20535,0.1901,0.02323,10.8205,0.98555,0.9984,0.99451,0.73218,0.98555,0.9984,0.99317,0.81206,1.11997,0.77409,0.14013,0.30349,0.05754,0,0.0006008,0.0006008,0.0006008
108,7714.03,0.51579,0.94052,0.22308,0.18119,0.02332,10.8213,0.99511,0.99325,0.99495,0.76047,0.99511,0.99325,0.99461,0.84533,1.06526,0.68322,0.1564,0.29956,0.055,0,0.0005876,0.0005876,0.0005876
109,7784.21,0.46257,0.91925,0.21979,0.1638,0.02082,10.8015,0.99514,0.99805,0.9949,0.75637,0.99514,0.99805,0.99485,0.83918,1.06698,0.70747,0.14322,0.30097,0.05493,0,0.0005744,0.0005744,0.0005744
110,7856.62,0.50361,0.9271,0.20573,0.17169,0.02273,10.7295,0.99362,1,0.99495,0.77005,0.99362,1,0.99417,0.81261,1.01548,0.80172,0.13231,0.28891,0.05103,0,0.0005612,0.0005612,0.0005612
111,7931.56,0.52486,0.90904,0.2231,0.18628,0.02367,10.8172,0.9974,0.99512,0.995,0.741,0.98553,0.99683,0.99387,0.81897,1.13901,0.78047,0.12363,0.31541,0.05847,0,0.000548,0.000548,0.000548
112,8002.41,0.50432,0.89904,0.19557,0.18615,0.02266,10.7024,1,0.993,0.995,0.71346,0.9903,0.99563,0.99393,0.77444,1.2133,0.9267,0.11306,0.33894,0.06354,0,0.0005348,0.0005348,0.0005348
113,8072.33,0.61534,0.88211,0.20044,0.20259,0.02828,10.5114,0.99976,1,0.995,0.74953,0.99488,0.99512,0.99339,0.79371,1.10758,0.86583,0.13956,0.29253,0.0562,0,0.0005216,0.0005216,0.0005216
114,8142.05,0.54667,0.87808,0.19784,0.1856,0.02483,10.6156,0.99515,0.99991,0.99495,0.75565,0.99513,0.9968,0.995,0.81092,1.0845,0.82044,0.10498,0.29093,0.05449,0,0.0005084,0.0005084,0.0005084
115,8211.34,0.46975,0.86849,0.21396,0.16953,0.02146,10.5219,0.99655,0.99512,0.995,0.74138,0.99464,0.99512,0.99451,0.83805,1.12126,0.71488,0.12826,0.30768,0.05793,0,0.0004952,0.0004952,0.0004952
116,8281.36,0.47723,0.88595,0.2051,0.17854,0.02114,10.3773,1,0.98918,0.995,0.73627,0.99269,0.98537,0.99303,0.83599,1.13578,0.70068,0.1405,0.32002,0.05907,0,0.000482,0.000482,0.000482
117,8351.23,0.47951,0.8586,0.19831,0.17866,0.02127,10.5466,0.99514,0.99828,0.9949,0.74136,0.99514,0.99828,0.99383,0.81997,1.12208,0.75146,0.12204,0.2949,0.05725,0,0.0004688,0.0004688,0.0004688
118,8421.91,0.46493,0.84782,0.19783,0.16122,0.02066,10.3425,0.98555,0.99799,0.99481,0.73649,0.98555,0.99799,0.99246,0.79116,1.1507,0.85693,0.1241,0.31869,0.05903,0,0.0004556,0.0004556,0.0004556
119,8495.47,0.44335,0.89968,0.21214,0.16295,0.02001,10.5628,0.9984,0.99512,0.995,0.73493,0.99332,0.99024,0.99162,0.81437,1.11754,0.76658,0.14433,0.30869,0.05726,0,0.0004424,0.0004424,0.0004424
120,8567.72,0.45582,0.86222,0.21237,0.1703,0.02037,10.3428,0.98247,0.99512,0.99461,0.73349,0.97765,0.99024,0.9923,0.80833,1.13259,0.78715,0.13221,0.33167,0.05821,0,0.0004292,0.0004292,0.0004292
121,8637.87,0.47168,0.82628,0.196,0.18079,0.02124,10.3544,0.99369,1,0.99485,0.72753,0.99369,1,0.99267,0.7863,1.15926,0.88532,0.09376,0.31123,0.05928,0,0.000416,0.000416,0.000416
122,8707.78,0.50596,0.84466,0.19251,0.17642,0.02308,10.3209,0.98842,0.99512,0.99485,0.73269,0.98842,0.99512,0.99268,0.81472,1.12894,0.77793,0.13104,0.30811,0.05865,0,0.0004028,0.0004028,0.0004028
123,8777.48,0.49523,0.82788,0.20924,0.17598,0.02241,10.2849,0.98958,0.99512,0.99495,0.75109,0.98823,0.99512,0.99247,0.83312,1.10215,0.71066,0.1269,0.30631,0.05666,0,0.0003896,0.0003896,0.0003896
124,8847.12,0.45564,0.82188,0.20119,0.15349,0.02043,10.2321,0.99855,0.98049,0.99481,0.72223,0.99505,0.97961,0.99263,0.81526,1.19642,0.77616,0.0904,0.33986,0.06189,0,0.0003764,0.0003764,0.0003764
125,8917.08,0.45461,0.82801,0.19899,0.16254,0.02001,10.1714,1,0.98786,0.995,0.73719,0.99454,0.98537,0.99205,0.83314,1.13116,0.73324,0.12969,0.32208,0.05852,0,0.0003632,0.0003632,0.0003632
126,8987.63,0.45613,0.83651,0.20217,0.15714,0.02041,10.3316,0.99312,1,0.995,0.7369,0.98828,0.99512,0.99308,0.82776,1.14043,0.73048,0.12245,0.31463,0.05851,0,0.00035,0.00035,0.00035
127,9059.18,0.48339,0.81719,0.19199,0.18163,0.0216,10.2232,0.98953,1,0.995,0.75184,0.98953,1,0.9916,0.84033,1.08816,0.69932,0.12531,0.29679,0.05615,0,0.0003368,0.0003368,0.0003368
128,9130.71,0.45885,0.84662,0.20507,0.16299,0.02067,10.5241,0.98552,0.99635,0.9949,0.73692,0.99514,0.99815,0.99495,0.84736,1.16393,0.68427,0.13019,0.31588,0.06087,0,0.0003236,0.0003236,0.0003236
129,9200.32,0.48408,0.83087,0.20492,0.17351,0.02202,10.4065,0.99514,0.99934,0.995,0.75287,0.99514,0.99934,0.99481,0.79781,1.11147,0.83384,0.09859,0.29965,0.05656,0,0.0003104,0.0003104,0.0003104
130,9270.26,0.42111,0.83978,0.19594,0.16458,0.01871,10.2164,0.99466,1,0.99495,0.74621,0.99466,1,0.99252,0.81502,1.12695,0.77758,0.11048,0.31809,0.0575,0,0.0002972,0.0002972,0.0002972
131,9340.57,0.44509,0.80078,0.20201,0.16534,0.0198,10.0114,0.99514,0.99963,0.995,0.74484,0.99514,0.99963,0.99456,0.8138,1.12348,0.80967,0.10525,0.29982,0.0574,0,0.000284,0.000284,0.000284
132,9410.98,0.42643,0.83008,0.21244,0.15372,0.01903,10.1893,0.99831,1,0.995,0.71969,0.99453,1,0.99447,0.82412,1.2176,0.79066,0.09359,0.32612,0.06334,0,0.0002708,0.0002708,0.0002708
133,9481.23,0.44944,0.85012,0.19843,0.15365,0.02023,10.2277,0.99372,1,0.99495,0.74035,0.99372,1,0.99388,0.81831,1.14594,0.80084,0.10223,0.32426,0.0581,0,0.0002576,0.0002576,0.0002576
134,9552.83,0.45821,0.76616,0.17835,0.16062,0.0204,9.81568,0.99513,0.99747,0.995,0.71623,0.99027,0.99259,0.99431,0.79774,1.22386,0.85225,0.1001,0.33429,0.06341,0,0.0002444,0.0002444,0.0002444
135,9626.08,0.43956,0.78141,0.1996,0.16509,0.01974,10.0441,0.99909,1,0.995,0.74139,0.99501,1,0.99427,0.83503,1.14097,0.75028,0.11807,0.30774,0.05878,0,0.0002312,0.0002312,0.0002312
136,9702.77,0.41499,0.8134,0.20006,0.1423,0.01874,10.1692,0.99512,0.99486,0.995,0.73569,0.99512,0.99486,0.9948,0.82916,1.15517,0.75577,0.10548,0.31962,0.05931,0,0.000218,0.000218,0.000218
137,9781.24,0.4055,0.81743,0.20665,0.14835,0.01805,10.1184,0.99514,0.99973,0.995,0.74009,0.99514,0.99973,0.99485,0.83728,1.13561,0.72652,0.11617,0.2987,0.05851,0,0.0002048,0.0002048,0.0002048
138,9857.94,0.43093,0.76846,0.19441,0.15384,0.01904,9.79564,0.99389,1,0.995,0.75023,0.99389,1,0.99485,0.82265,1.09798,0.77369,0.11855,0.29593,0.05581,0,0.0001916,0.0001916,0.0001916
139,9933.53,0.40146,0.78485,0.19736,0.14465,0.01779,9.9503,0.99324,1,0.99495,0.73957,0.99324,1,0.99466,0.84254,1.13781,0.70629,0.1146,0.3126,0.05864,0,0.0001784,0.0001784,0.0001784
140,10010.5,0.40876,0.78467,0.20871,0.13874,0.01825,10.0121,0.99473,1,0.995,0.74386,0.99473,1,0.99466,0.83522,1.12742,0.73569,0.10287,0.29818,0.05805,0,0.0001652,0.0001652,0.0001652
141,10129.5,0.41915,0.80987,0.19722,0.14304,0.01832,9.93629,1,0.99928,0.995,0.74129,0.99448,1,0.99485,0.83093,1.13599,0.74773,0.11977,0.30472,0.05781,0,0.000152,0.000152,0.000152
142,10205,0.40009,0.76396,0.18695,0.14377,0.01759,9.90523,0.99514,0.99963,0.99495,0.73919,0.99514,0.99963,0.99476,0.81402,1.1487,0.80094,0.11214,0.32461,0.05846,0,0.0001388,0.0001388,0.0001388
143,10282.5,0.42047,0.7352,0.19401,0.14693,0.01877,9.8023,0.99514,0.99972,0.9949,0.74132,0.99514,0.99972,0.99471,0.83882,1.13907,0.73529,0.11419,0.31548,0.05864,0,0.0001256,0.0001256,0.0001256
144,10365.9,0.40173,0.75662,0.19054,0.13801,0.01774,9.88005,1,0.99982,0.995,0.75005,0.99476,1,0.99476,0.83302,1.10841,0.74306,0.11189,0.30237,0.0565,0,0.0001124,0.0001124,0.0001124
145,10442.8,0.38062,0.77345,0.19473,0.14899,0.01687,9.95266,0.99357,1,0.995,0.74519,0.99357,1,0.99481,0.8421,1.11984,0.71288,0.11226,0.30587,0.0575,0,9.92e-05,9.92e-05,9.92e-05
146,10520.1,0.39854,0.78364,0.1929,0.13536,0.01748,9.86252,0.99422,1,0.99495,0.74766,0.99422,1,0.99485,0.83582,1.12338,0.73971,0.11083,0.30509,0.05729,0,8.6e-05,8.6e-05,8.6e-05
147,10598.3,0.38827,0.77488,0.19009,0.1387,0.01696,9.84337,0.99514,0.99967,0.99495,0.74307,0.99514,0.99967,0.99476,0.83834,1.12673,0.7276,0.11295,0.29912,0.05803,0,7.28e-05,7.28e-05,7.28e-05
148,10675.4,0.38968,0.75955,0.19246,0.13498,0.01719,9.78437,0.9965,1,0.995,0.74532,0.9947,1,0.99481,0.83792,1.11742,0.73069,0.11233,0.30349,0.0572,0,5.96e-05,5.96e-05,5.96e-05
149,10754.1,0.39982,0.76634,0.19623,0.1352,0.01777,9.83438,0.98987,1,0.995,0.74861,0.98987,1,0.99485,0.83958,1.11153,0.73206,0.1192,0.30778,0.05679,0,4.64e-05,4.64e-05,4.64e-05
150,10824.1,0.3919,0.81959,0.18928,0.13696,0.01702,9.92943,0.99514,0.99894,0.995,0.74909,0.99514,0.99894,0.9949,0.83806,1.11109,0.73075,0.11948,0.30541,0.05665,0,3.32e-05,3.32e-05,3.32e-05
