animal_id,image_name,model_used,geom_dist_hook_width,geom_dist_pin_width,geom_dist_withers_back,geom_dist_back_hip,geom_angle_withers_back_hip,geom_angle_back_hip_tail,geom_angle_hookU_hip_hookD,tex_withers_R_mean,tex_withers_G_mean,tex_withers_B_mean,tex_back_R_mean,tex_back_G_mean,tex_back_B_mean,tex_hook_up_R_mean,tex_hook_up_G_mean,tex_hook_up_B_mean,tex_hook_down_R_mean,tex_hook_down_G_mean,tex_hook_down_B_mean,tex_hip_R_mean,tex_hip_G_mean,tex_hip_B_mean,tex_tail_head_R_mean,tex_tail_head_G_mean,tex_tail_head_B_mean,tex_pin_down_R_mean,tex_pin_down_G_mean,tex_pin_down_B_mean,tex_pin_up_R_mean,tex_pin_up_G_mean,tex_pin_up_B_mean,tex_bbox_R_mean,tex_bbox_G_mean,tex_bbox_B_mean
1531,RLC4_00_20260110222414_baia1_RLC4.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.4304995653331667,0.23163167360843293,0.28603071296104954,0.4966761444068091,182.34876660223983,187.19703115204007,222.08642280759713,33.15816326530612,33.15816326530612,33.15816326530612,23.392857142857142,23.392857142857142,23.392857142857142,32.86224489795919,32.86224489795919,32.86224489795919,25.132653061224488,25.132653061224488,25.132653061224488,122.63265306122449,122.63265306122449,122.63265306122449,141.79591836734693,141.79591836734693,141.79591836734693,12.025510204081632,12.025510204081632,12.025510204081632,91.60204081632654,91.60204081632654,91.60204081632654,59.5101508950625,59.5101508950625,59.5101508950625
1531,RLC4_00_20260114150000_baia1_RLC4.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.43479524033326505,0.22873040089970445,0.2804078524036152,0.5040283265245562,181.21289033098066,186.05058380664613,222.86765789078063,30.382653061224488,30.382653061224488,30.382653061224488,32.16836734693877,32.16836734693877,32.16836734693877,72.01530612244898,72.01530612244898,72.01530612244898,30.418367346938776,30.418367346938776,30.418367346938776,188.83673469387756,188.83673469387756,188.83673469387756,192.23979591836735,192.23979591836735,192.23979591836735,32.0969387755102,32.0969387755102,32.0969387755102,61.59183673469388,61.59183673469388,61.59183673469388,72.52847941037304,72.52847941037304,72.52847941037304
1531,RLC4_00_20260114150200_baia1_RLC4.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.4323903900017023,0.23276774219615148,0.290261886611804,0.4931719473039435,180.9731304690945,185.64322800329165,225.92989615152564,61.724489795918366,61.724489795918366,61.724489795918366,34.75,34.75,34.75,57.734693877551024,57.734693877551024,57.734693877551024,45.36734693877551,45.36734693877551,45.36734693877551,131.1530612244898,131.1530612244898,131.1530612244898,229.85714285714286,229.85714285714286,229.85714285714286,59.06122448979592,59.06122448979592,59.06122448979592,210.53571428571428,210.53571428571428,210.53571428571428,74.94426763715016,74.94426763715016,74.94426763715016
1531,RLC4_00_20260114224146_baia1_RLC4.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.4287502450478118,0.2313552194944841,0.29333557584652137,0.49012797079444054,181.7573785620012,186.65099918141723,224.6829210356656,23.551020408163264,23.551020408163264,23.551020408163264,26.928571428571427,26.928571428571427,26.928571428571427,30.408163265306122,30.408163265306122,30.408163265306122,168.5765306122449,168.5765306122449,168.5765306122449,193.9387755102041,193.9387755102041,193.9387755102041,169.9591836734694,169.9591836734694,169.9591836734694,17.632653061224488,17.632653061224488,17.632653061224488,166.22448979591837,166.22448979591837,166.22448979591837,57.238637314807065,57.238637314807065,57.238637314807065
1531,RLC4_00_20260114224447_baia1_RLC4.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.44285395945077305,0.23513077514940733,0.2808814477705779,0.4976987756095942,183.0050616736042,184.5498452432575,223.61852096780527,29.760204081632654,29.760204081632654,29.760204081632654,41.33673469387755,41.33673469387755,41.33673469387755,28.882653061224488,28.882653061224488,28.882653061224488,26.005102040816325,26.005102040816325,26.005102040816325,192.72448979591837,192.72448979591837,192.72448979591837,140.37244897959184,140.37244897959184,140.37244897959184,10.61734693877551,10.61734693877551,10.61734693877551,30.913265306122447,30.913265306122447,30.913265306122447,55.395399648121796,55.395399648121796,55.395399648121796
1531,RLC4_00_20260115152006_baia1_RLC4.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.4487859476280069,0.24301269389267594,0.2711703376060344,0.4939084853758365,184.2153695350332,183.2819360864591,223.86166463961447,54.734693877551024,54.734693877551024,54.734693877551024,56.994897959183675,56.994897959183675,56.994897959183675,63.642857142857146,63.642857142857146,63.642857142857146,48.37755102040816,48.37755102040816,48.37755102040816,101.95408163265306,101.95408163265306,101.95408163265306,176.09183673469389,176.09183673469389,176.09183673469389,63.515306122448976,63.515306122448976,63.515306122448976,238.0204081632653,238.0204081632653,238.0204081632653,86.90848922176842,86.90848922176842,86.90848922176842
1539,20260101_143309_baia22_VIPWX.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.41240288927908797,0.21103304468308756,0.3059349325499482,0.5072761485233707,172.4221630505899,178.00883396855923,228.59929442824864,124.41326530612245,124.41326530612245,124.41326530612245,104.91326530612245,104.91326530612245,104.91326530612245,57.88265306122449,57.88265306122449,57.88265306122449,39.295918367346935,39.295918367346935,39.295918367346935,57.785714285714285,57.785714285714285,57.785714285714285,62.214285714285715,62.214285714285715,62.214285714285715,130.82142857142858,130.82142857142858,130.82142857142858,53.70918367346939,53.70918367346939,53.70918367346939,93.83386007702673,93.83386007702673,93.83386007702673
1539,20260101_143404_baia22_VIPWX.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.4203130655296625,0.211235304951029,0.3045978491624599,0.5061864860390868,172.32690448060376,178.94035419512323,227.9316973588576,158.02551020408163,158.02551020408163,158.02551020408163,86.35714285714286,86.35714285714286,86.35714285714286,52.39795918367347,52.39795918367347,52.39795918367347,36.77777777777778,36.77777777777778,36.77777777777778,59.82142857142857,59.82142857142857,59.82142857142857,60.505102040816325,60.505102040816325,60.505102040816325,64.85204081632654,64.85204081632654,64.85204081632654,47.234693877551024,47.234693877551024,47.234693877551024,106.76136979181916,106.76136979181916,106.76136979181916
1539,20260101_215711_baia19_IPC2.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.41422220986049807,0.20562420676954343,0.3142623356920331,0.49146578410393593,172.16160994838046,179.1045404519123,228.02162755585798,14.209183673469388,14.209183673469388,14.209183673469388,26.98469387755102,26.98469387755102,26.98469387755102,8.377551020408163,8.377551020408163,8.377551020408163,43.683673469387756,43.683673469387756,43.683673469387756,36.97959183673469,36.97959183673469,36.97959183673469,71.53571428571429,71.53571428571429,71.53571428571429,73.41836734693878,73.41836734693878,73.41836734693878,49.79081632653061,49.79081632653061,49.79081632653061,37.455034418185285,37.455034418185285,37.455034418185285
1539,20260101_220011_baia19_IPC2.jpg,yolov8m-pose_ep150_sz960_b8_rectT,0.4157168551477275,0.20868533507180545,0.30058531655134635,0.4968310282718288,172.6320282568146,179.77419545630943,229.20714032435555,17.770408163265305,17.770408163265305,17.770408163265305,21.520408163265305,21.520408163265305,21.520408163265305,9.178571428571429,9.178571428571429,9.178571428571429,58.326530612244895,58.326530612244895,58.326530612244895,31.882653061224488,31.882653061224488,31.882653061224488,53.433673469387756,53.433673469387756,53.433673469387756,71.27551020408163,71.27551020408163,71.27551020408163,70.75510204081633,70.75510204081633,70.75510204081633,35.58374970706252,35.58374970706252,35.58374970706252
