epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,675.236,0.3664,1.28678,0.24621,0.29303,1.08211,0.99466,1,0.99495,0.7862,0.99466,1,0.99495,0.75726,0.8536,1.01139,0.1019,0.44962,1.41226,0.0016436,0.0016436,0.0016436
29,699.547,0.37836,1.32875,0.25089,0.28424,1.08338,0.9929,1,0.99388,0.76954,0.9929,1,0.99238,0.75387,0.88586,0.9239,0.18374,0.47053,1.53616,0.0016304,0.0016304,0.0016304
30,722.654,0.37576,1.35752,0.24994,0.31243,1.07745,0.99453,1,0.9932,0.84887,0.99453,1,0.99495,0.77416,0.79549,0.88848,0.22051,0.59552,1.36375,0.0016172,0.0016172,0.0016172
31,747.068,0.37683,1.27631,0.24001,0.29175,1.06696,0.99443,1,0.99335,0.82435,0.99443,1,0.99388,0.68074,0.78815,1.14005,0.50689,0.49161,1.38922,0.001604,0.001604,0.001604
32,770.914,0.35873,1.27724,0.24625,0.27754,1.06485,0.99514,0.99984,0.99379,0.85111,0.99514,0.99984,0.99437,0.75421,0.71733,1.06597,0.13847,0.479,1.2707,0.0015908,0.0015908,0.0015908
33,795.106,0.36584,1.3251,0.25035,0.27628,1.07182,0.99351,1,0.99481,0.8126,0.99351,1,0.99476,0.76448,0.76939,0.91577,0.12296,0.44729,1.30013,0.0015776,0.0015776,0.0015776
34,818.844,0.3616,1.31491,0.24091,0.27435,1.06904,0.99459,1,0.99461,0.82293,0.99459,1,0.99485,0.75291,0.79406,0.95982,0.38977,0.47354,1.43606,0.0015644,0.0015644,0.0015644
35,842.368,0.3531,1.2702,0.23878,0.26876,1.06137,0.98966,1,0.99407,0.81688,0.99482,0.99024,0.9949,0.71676,0.83715,1.16303,0.16839,0.50798,1.41551,0.0015512,0.0015512,0.0015512
36,866.098,0.34182,1.25566,0.2501,0.26447,1.051,0.99304,1,0.995,0.82738,0.99304,1,0.99417,0.7937,0.77381,0.85998,0.17647,0.43489,1.30667,0.001538,0.001538,0.001538
37,889.956,0.33023,1.26058,0.25157,0.26894,1.05216,0.9945,1,0.99398,0.84183,0.9945,1,0.99485,0.78539,0.76047,0.87989,0.13804,0.47404,1.32699,0.0015248,0.0015248,0.0015248
38,913.839,0.33658,1.23097,0.25537,0.27043,1.04189,0.99476,1,0.99413,0.83191,0.99476,1,0.99277,0.7779,0.77273,0.91948,0.09393,0.44014,1.35338,0.0015116,0.0015116,0.0015116
39,937.195,0.35198,1.22177,0.25512,0.26377,1.04168,0.99325,1,0.99301,0.83823,0.99325,1,0.99272,0.80261,0.72929,0.82162,0.16965,0.43359,1.28878,0.0014984,0.0014984,0.0014984
40,960.639,0.33212,1.17247,0.23658,0.266,1.04159,0.99391,1,0.99316,0.85681,0.99391,1,0.99267,0.80125,0.70375,0.78602,0.11535,0.46024,1.27002,0.0014852,0.0014852,0.0014852
41,984.644,0.34398,1.17286,0.21853,0.26187,1.05232,0.9937,1,0.99466,0.82826,0.9937,1,0.99427,0.79067,0.77175,0.8284,0.18624,0.40821,1.33948,0.001472,0.001472,0.001472
42,1008.06,0.33969,1.24445,0.23881,0.25502,1.03466,0.99393,1,0.99364,0.8479,0.99393,1,0.99262,0.79187,0.66414,0.79976,0.10297,0.41179,1.22896,0.0014588,0.0014588,0.0014588
43,1032.4,0.33838,1.15147,0.22365,0.2466,1.05666,0.99347,1,0.99155,0.81954,0.99347,1,0.99184,0.77257,0.77994,0.88019,0.12903,0.46482,1.34245,0.0014456,0.0014456,0.0014456
44,1056.19,0.32408,1.17753,0.2243,0.23787,1.0562,0.93974,1,0.99195,0.82741,0.93974,1,0.98976,0.79349,0.74104,0.81852,0.085,0.51756,1.28176,0.0014324,0.0014324,0.0014324
45,1079.29,0.32314,1.1208,0.21731,0.24785,1.03778,0.98978,1,0.99447,0.82986,0.98978,1,0.995,0.80315,0.73942,0.80809,0.08442,0.45842,1.30965,0.0014192,0.0014192,0.0014192
46,1103.27,0.30339,1.16983,0.22369,0.236,1.00451,0.99488,1,0.995,0.82411,0.99898,1,0.995,0.802,0.69289,0.89901,0.15265,0.45943,1.25778,0.001406,0.001406,0.001406
47,1127.09,0.33314,1.10256,0.21776,0.24811,1.0451,0.99464,1,0.99495,0.83881,0.99464,1,0.99471,0.82415,0.68086,0.76383,0.13378,0.40934,1.21386,0.0013928,0.0013928,0.0013928
48,1151.6,0.3184,1.13581,0.23633,0.2486,1.02067,0.98216,1,0.9932,0.83368,0.98216,1,0.99324,0.81949,0.76234,0.74143,0.09779,0.43234,1.33489,0.0013796,0.0013796,0.0013796
49,1175.91,0.31087,1.11688,0.21656,0.23407,1.0338,0.98983,1,0.99305,0.86015,0.99928,1,0.995,0.79368,0.69308,0.8665,0.08125,0.41308,1.21624,0.0013664,0.0013664,0.0013664
50,1200.6,0.30246,1.08331,0.2213,0.23754,1.03002,0.99063,1,0.99282,0.8502,0.99063,1,0.9949,0.79213,0.68001,0.77383,0.17081,0.45442,1.27914,0.0013532,0.0013532,0.0013532
51,1224.6,0.33129,1.08206,0.21389,0.23753,1.04319,0.99239,1,0.9932,0.85433,0.99239,1,0.99495,0.79399,0.69185,0.80797,0.11681,0.4171,1.24052,0.00134,0.00134,0.00134
52,1248.35,0.3015,1.11964,0.21335,0.23044,1.02396,0.99445,0.99512,0.99359,0.83074,0.99932,1,0.995,0.76534,0.78486,0.89883,0.09873,0.48277,1.35017,0.0013268,0.0013268,0.0013268
53,1272.83,0.31465,1.04163,0.21609,0.21623,1.02916,0.99221,0.99512,0.9911,0.85552,0.99708,1,0.995,0.8446,0.69263,0.65665,0.07505,0.40482,1.24492,0.0013136,0.0013136,0.0013136
54,1297.2,0.31812,0.98926,0.20014,0.23222,1.05777,0.98677,0.99024,0.99208,0.7739,0.97079,0.97259,0.98594,0.72689,0.9877,1.0471,0.36995,0.57815,1.81117,0.0013004,0.0013004,0.0013004
55,1320.93,0.30107,0.98391,0.21433,0.21537,1.02467,0.99471,1,0.99325,0.83908,0.99471,1,0.995,0.83535,0.75195,0.70395,0.13668,0.38278,1.3358,0.0012872,0.0012872,0.0012872
56,1344.74,0.29706,0.98209,0.21113,0.22552,1.01999,0.99443,1,0.99417,0.87338,0.99443,1,0.99471,0.83446,0.52512,0.65865,0.07798,0.38162,1.04259,0.001274,0.001274,0.001274
57,1368.52,0.29112,0.98655,0.21645,0.21367,0.99515,0.99453,1,0.99422,0.85679,0.99705,1,0.995,0.78164,0.6766,0.80574,0.09006,0.43214,1.23562,0.0012608,0.0012608,0.0012608
58,1392.21,0.29009,0.94031,0.20834,0.21506,1.02,0.9944,0.99512,0.99461,0.87448,0.99928,1,0.995,0.82788,0.58532,0.74857,0.11714,0.39759,1.08329,0.0012476,0.0012476,0.0012476
59,1416.99,0.29593,0.98715,0.22167,0.21656,1.025,0.99514,0.99975,0.99199,0.85136,0.99902,1,0.995,0.83541,0.65011,0.69147,0.06703,0.37258,1.1969,0.0012344,0.0012344,0.0012344
60,1441.36,0.29279,0.98946,0.22567,0.21909,1.01256,0.99033,0.99959,0.99363,0.81993,1,0.99964,0.995,0.82867,0.83231,0.7251,0.18829,0.43054,1.52765,0.0012212,0.0012212,0.0012212
61,1465.34,0.28925,0.99077,0.21053,0.20536,1.02497,0.99029,0.99463,0.99426,0.78184,0.99514,0.99951,0.995,0.85642,0.93819,0.65375,0.12856,0.46701,1.5717,0.001208,0.001208,0.001208
62,1489.51,0.28866,0.92369,0.20012,0.21089,1.00782,0.98403,1,0.99416,0.85154,0.97978,0.99512,0.9916,0.84526,0.68796,0.6657,0.12433,0.39315,1.24139,0.0011948,0.0011948,0.0011948
63,1513.5,0.27532,1.01393,0.19689,0.20156,0.99859,0.99021,1,0.99495,0.82884,0.98789,1,0.99312,0.80715,0.75077,0.74449,0.14846,0.42121,1.43653,0.0011816,0.0011816,0.0011816
64,1537.72,0.29919,0.96478,0.21169,0.21149,1.02113,0.99514,0.99983,0.99374,0.84254,0.99962,1,0.995,0.8504,0.68161,0.63525,0.08983,0.4175,1.23957,0.0011684,0.0011684,0.0011684
65,1561.76,0.28169,0.93601,0.20517,0.20787,1.01231,0.99227,1,0.99218,0.81091,0.99227,1,0.99403,0.82182,0.73892,0.75435,0.13169,0.44381,1.41216,0.0011552,0.0011552,0.0011552
66,1586.52,0.29499,1.00138,0.19594,0.21296,0.99603,0.9948,1,0.99335,0.85274,0.99718,1,0.995,0.83249,0.67514,0.69082,0.0989,0.39166,1.23372,0.001142,0.001142,0.001142
67,1611.69,0.27144,0.94561,0.21404,0.19103,1.00017,0.995,1,0.99306,0.85788,0.99914,1,0.995,0.83427,0.69166,0.67562,0.09989,0.39725,1.24817,0.0011288,0.0011288,0.0011288
68,1635.27,0.27975,0.92886,0.20841,0.19926,1.00223,0.98963,0.99512,0.99142,0.90074,0.99448,1,0.995,0.86463,0.51377,0.61751,0.08895,0.3684,1.03141,0.0011156,0.0011156,0.0011156
69,1658.78,0.27687,0.92529,0.19887,0.19949,1.00851,0.99368,1,0.99112,0.86063,0.99368,1,0.99194,0.85811,0.63553,0.62021,0.08272,0.39344,1.1317,0.0011024,0.0011024,0.0011024
70,1681.92,0.28314,0.94714,0.19774,0.19884,0.99521,0.96714,0.99512,0.98758,0.78614,0.97188,1,0.9908,0.83696,0.81987,0.65788,0.08257,0.53797,1.44767,0.0010892,0.0010892,0.0010892
71,1706.03,0.25917,0.87274,0.19888,0.18153,0.99546,0.97443,1,0.98148,0.79472,0.96017,0.98537,0.96849,0.76827,0.73177,0.84856,0.20855,0.48417,1.27939,0.001076,0.001076,0.001076
72,1729.37,0.26697,0.9217,0.19999,0.19036,0.9818,0.99514,0.99965,0.995,0.85096,0.99959,1,0.995,0.86511,0.70123,0.61719,0.07739,0.3838,1.31919,0.0010628,0.0010628,0.0010628
